timestamp	start_id	iteration	loss_total	loss_naturalness	loss_epidemiology	loss_sparsity	config_json	error_type	error_details_json
1778044797.373	0	1	0.753134	0.813736	0.662230	0.000000	"{""adhd_hyperactive_impulsive.cognitive.conflict_tendency"": 0.2145241193509786, ""adhd_hyperactive_impulsive.cognitive.impulse_override"": 0.2916807012507463, ""adhd_hyperactive_impulsive.cognitive.plan_consistency"": -0.5069372475784822, ""adhd_hyperactive_impulsive.emotional.anger"": 0.13328733594758033, ""adhd_hyperactive_impulsive.emotional.excitement"": 0.1569890950956006, ""adhd_inattentive.cognitive.att_bandwidth"": -2, ""adhd_inattentive.cognitive.plan_consistency"": -0.39436185835386744, ""adhd_inattentive.cognitive.retention"": -2, ""adhd_inattentive.cognitive.task_initiation_delay"": 0.4738600641585868, ""adhd_inattentive.emotional.frustration"": 0.21864495772686976, ""adhd_inattentive.emotional.self_esteem"": -0.27815555231390454, ""adhd_inattentive.emotional.shame"": 0.12394889745653352, ""base_cognitive.att_bandwidth"": 4, ""base_cognitive.conflict_tendency"": 0.08314432612041356, ""base_cognitive.importance_trigger"": 117.14242976624334, ""base_cognitive.impulse_override"": 0.03922456585543567, ""base_cognitive.plan_consistency"": 0.7779075857050288, ""base_cognitive.recency_decay"": 0.9911232574963975, ""base_cognitive.retention"": 4, ""base_cognitive.social_sensitivity"": 0.46360996012450495, ""base_cognitive.task_initiation_delay"": 0.07406677446676758, ""base_cognitive.vision_r"": 3, ""base_emotional.anger"": 0.10224224748599764, ""base_emotional.anxiety"": 0.08024591614079615, ""base_emotional.excitement"": 0.2574029419383605, ""base_emotional.frustration"": 0.05476740192226754, ""base_emotional.loneliness"": 0.09734940755263355, ""base_emotional.self_esteem"": 0.6839039641923318, ""base_emotional.shame"": 0.041243428783391094, ""base_emotional.trust_in_teacher"": 0.7253312433975591}"		
1778044798.199	0	2	0.667546	0.675301	0.655913	0.000000	"{""adhd_hyperactive_impulsive.cognitive.conflict_tendency"": 0.2025321498305001, ""adhd_hyperactive_impulsive.cognitive.impulse_override"": 0.350526276156654, ""adhd_hyperactive_impulsive.cognitive.plan_consistency"": -0.40963593730828973, ""adhd_hyperactive_impulsive.emotional.anger"": 0.12928232624521127, ""adhd_hyperactive_impulsive.emotional.excitement"": 0.19524674322955904, ""adhd_inattentive.cognitive.att_bandwidth"": -3, ""adhd_inattentive.cognitive.plan_consistency"": -0.37397475499216676, ""adhd_inattentive.cognitive.retention"": -4, ""adhd_inattentive.cognitive.task_initiation_delay"": 0.3906820604736871, ""adhd_inattentive.emotional.frustration"": 0.22843435546329754, ""adhd_inattentive.emotional.self_esteem"": -0.28960398096132134, ""adhd_inattentive.emotional.shame"": 0.12439811457341272, ""base_cognitive.att_bandwidth"": 3, ""base_cognitive.conflict_tendency"": 0.05638604532663836, ""base_cognitive.importance_trigger"": 103.0415310046168, ""base_cognitive.impulse_override"": 0.04123435465678884, ""base_cognitive.plan_consistency"": 0.8418849759343685, ""base_cognitive.recency_decay"": 0.9839678130083301, ""base_cognitive.retention"": 6, ""base_cognitive.social_sensitivity"": 0.32364005942353746, ""base_cognitive.task_initiation_delay"": 0.092229537202816, ""base_cognitive.vision_r"": 4, ""base_emotional.anger"": 0.053074630830799184, ""base_emotional.anxiety"": 0.09701255340170695, ""base_emotional.excitement"": 0.24918949778515653, ""base_emotional.frustration"": 0.14429596992416652, ""base_emotional.loneliness"": 0.03834661785884891, ""base_emotional.self_esteem"": 0.7970443041321515, ""base_emotional.shame"": 0.1362542097524168, ""base_emotional.trust_in_teacher"": 0.743267085197173}"		
1778044798.865	0	3	0.588264	0.582780	0.596491	0.000000	"{""adhd_hyperactive_impulsive.cognitive.conflict_tendency"": 0.1394112412784403, ""adhd_hyperactive_impulsive.cognitive.impulse_override"": 0.28699412615409753, ""adhd_hyperactive_impulsive.cognitive.plan_consistency"": -0.43772637316736984, ""adhd_hyperactive_impulsive.emotional.anger"": 0.19599617872906028, ""adhd_hyperactive_impulsive.emotional.excitement"": 0.23467343254037154, ""adhd_inattentive.cognitive.att_bandwidth"": -2, ""adhd_inattentive.cognitive.plan_consistency"": -0.31891226694102404, ""adhd_inattentive.cognitive.retention"": -4, ""adhd_inattentive.cognitive.task_initiation_delay"": 0.37912638021213285, ""adhd_inattentive.emotional.frustration"": 0.23889118666627066, ""adhd_inattentive.emotional.self_esteem"": -0.30497037169533103, ""adhd_inattentive.emotional.shame"": 0.16882777788810982, ""base_cognitive.att_bandwidth"": 4, ""base_cognitive.conflict_tendency"": 0.10585667281708286, ""base_cognitive.importance_trigger"": 126.56188092303535, ""base_cognitive.impulse_override"": 0.08759997838686835, ""base_cognitive.plan_consistency"": 0.947904670127319, ""base_cognitive.recency_decay"": 0.9824510374064289, ""base_cognitive.retention"": 4, ""base_cognitive.social_sensitivity"": 0.5053842752969624, ""base_cognitive.task_initiation_delay"": 0.05569497437746462, ""base_cognitive.vision_r"": 5, ""base_emotional.anger"": 0.06785436576708984, ""base_emotional.anxiety"": 0.05417303170752491, ""base_emotional.excitement"": 0.18164742653794896, ""base_emotional.frustration"": 0.16639998673193673, ""base_emotional.loneliness"": 0.062128905117084327, ""base_emotional.self_esteem"": 0.7752735252945337, ""base_emotional.shame"": 0.05748576863569252, ""base_emotional.trust_in_teacher"": 0.7857274285837637}"		
1778044799.549	0	4	0.568225	0.508151	0.658335	0.000000	"{""adhd_hyperactive_impulsive.cognitive.conflict_tendency"": 0.1004867974152594, ""adhd_hyperactive_impulsive.cognitive.impulse_override"": 0.29402501929711394, ""adhd_hyperactive_impulsive.cognitive.plan_consistency"": -0.5183684491310661, ""adhd_hyperactive_impulsive.emotional.anger"": 0.2138719679702884, ""adhd_hyperactive_impulsive.emotional.excitement"": 0.20795210033288863, ""adhd_inattentive.cognitive.att_bandwidth"": -1, ""adhd_inattentive.cognitive.plan_consistency"": -0.42708965140326266, ""adhd_inattentive.cognitive.retention"": -2, ""adhd_inattentive.cognitive.task_initiation_delay"": 0.4769576900258218, ""adhd_inattentive.emotional.frustration"": 0.21761411394690927, ""adhd_inattentive.emotional.self_esteem"": -0.2921701695847223, ""adhd_inattentive.emotional.shame"": 0.2152898098986169, ""base_cognitive.att_bandwidth"": 3, ""base_cognitive.conflict_tendency"": 0.04439838015502052, ""base_cognitive.importance_trigger"": 109.68322214235991, ""base_cognitive.impulse_override"": 0.0980203941780364, ""base_cognitive.plan_consistency"": 0.8487031669779261, ""base_cognitive.recency_decay"": 0.9949598866698374, ""base_cognitive.retention"": 4, ""base_cognitive.social_sensitivity"": 0.3458523958044783, ""base_cognitive.task_initiation_delay"": 0.08611029096666659, ""base_cognitive.vision_r"": 4, ""base_emotional.anger"": 0.10150661140333536, ""base_emotional.anxiety"": 0.10001975051768501, ""base_emotional.excitement"": 0.18771211799727197, ""base_emotional.frustration"": 0.15207218202444908, ""base_emotional.loneliness"": 0.08616598653416127, ""base_emotional.self_esteem"": 0.788486172275962, ""base_emotional.shame"": 0.10156908368783686, ""base_emotional.trust_in_teacher"": 0.688306474053822}"		
1778044800.380	0	5	0.579059	0.512701	0.678597	0.000000	"{""adhd_hyperactive_impulsive.cognitive.conflict_tendency"": 0.21487516439604815, ""adhd_hyperactive_impulsive.cognitive.impulse_override"": 0.26038187777025756, ""adhd_hyperactive_impulsive.cognitive.plan_consistency"": -0.39787956694855364, ""adhd_hyperactive_impulsive.emotional.anger"": 0.13669089038496915, ""adhd_hyperactive_impulsive.emotional.excitement"": 0.1712923567148097, ""adhd_inattentive.cognitive.att_bandwidth"": -2, ""adhd_inattentive.cognitive.plan_consistency"": -0.4384149667011625, ""adhd_inattentive.cognitive.retention"": -4, ""adhd_inattentive.cognitive.task_initiation_delay"": 0.47560191984080813, ""adhd_inattentive.emotional.frustration"": 0.24310342788873923, ""adhd_inattentive.emotional.self_esteem"": -0.26738162123617565, ""adhd_inattentive.emotional.shame"": 0.11284801781018182, ""base_cognitive.att_bandwidth"": 4, ""base_cognitive.conflict_tendency"": 0.09862597200676361, ""base_cognitive.importance_trigger"": 160.93629988857367, ""base_cognitive.impulse_override"": 0.08750545453794045, ""base_cognitive.plan_consistency"": 0.8096889582897265, ""base_cognitive.recency_decay"": 0.9936894175901723, ""base_cognitive.retention"": 6, ""base_cognitive.social_sensitivity"": 0.3458517805648904, ""base_cognitive.task_initiation_delay"": 0.06089702114381723, ""base_cognitive.vision_r"": 3, ""base_emotional.anger"": 0.03006862753535322, ""base_emotional.anxiety"": 0.11894597738537308, ""base_emotional.excitement"": 0.15292151135787485, ""base_emotional.frustration"": 0.13090685451794387, ""base_emotional.loneliness"": 0.06889872684056077, ""base_emotional.self_esteem"": 0.7757443755646369, ""base_emotional.shame"": 0.12343517743566698, ""base_emotional.trust_in_teacher"": 0.7822746540661543}"		
1778044801.127	0	6	0.707567	0.776081	0.604797	0.000000	"{""adhd_hyperactive_impulsive.cognitive.conflict_tendency"": 0.1771234179712884, ""adhd_hyperactive_impulsive.cognitive.impulse_override"": 0.25471194370795275, ""adhd_hyperactive_impulsive.cognitive.plan_consistency"": -0.4839143021839003, ""adhd_hyperactive_impulsive.emotional.anger"": 0.1562020443153911, ""adhd_hyperactive_impulsive.emotional.excitement"": 0.1728121748725736, ""adhd_inattentive.cognitive.att_bandwidth"": -1, ""adhd_inattentive.cognitive.plan_consistency"": -0.3323119771179298, ""adhd_inattentive.cognitive.retention"": -4, ""adhd_inattentive.cognitive.task_initiation_delay"": 0.3014381677970187, ""adhd_inattentive.emotional.frustration"": 0.21201932305129903, ""adhd_inattentive.emotional.self_esteem"": -0.3385419442212477, ""adhd_inattentive.emotional.shame"": 0.10883106503144852, ""base_cognitive.att_bandwidth"": 4, ""base_cognitive.conflict_tendency"": 0.09416540755372096, ""base_cognitive.importance_trigger"": 142.46157422378403, ""base_cognitive.impulse_override"": 0.11360221437019591, ""base_cognitive.plan_consistency"": 0.942872581201491, ""base_cognitive.recency_decay"": 0.9879151068112738, ""base_cognitive.retention"": 5, ""base_cognitive.social_sensitivity"": 0.5069602896298864, ""base_cognitive.task_initiation_delay"": 0.07552651966358055, ""base_cognitive.vision_r"": 3, ""base_emotional.anger"": 0.13795369015715345, ""base_emotional.anxiety"": 0.0985446653288082, ""base_emotional.excitement"": 0.18718584204990119, ""base_emotional.frustration"": 0.10984884499961438, ""base_emotional.loneliness"": 0.08417833696693557, ""base_emotional.self_esteem"": 0.6042068520014118, ""base_emotional.shame"": 0.11060243515659396, ""base_emotional.trust_in_teacher"": 0.5660064740815862}"		
1778044801.945	0	7	0.742703	0.809233	0.642909	0.000000	"{""adhd_hyperactive_impulsive.cognitive.conflict_tendency"": 0.16646961175801855, ""adhd_hyperactive_impulsive.cognitive.impulse_override"": 0.2874709671823151, ""adhd_hyperactive_impulsive.cognitive.plan_consistency"": -0.36534688014479744, ""adhd_hyperactive_impulsive.emotional.anger"": 0.23197538361903797, ""adhd_hyperactive_impulsive.emotional.excitement"": 0.18254879686747721, ""adhd_inattentive.cognitive.att_bandwidth"": -2, ""adhd_inattentive.cognitive.plan_consistency"": -0.40026873321594286, ""adhd_inattentive.cognitive.retention"": -4, ""adhd_inattentive.cognitive.task_initiation_delay"": 0.3380417816881623, ""adhd_inattentive.emotional.frustration"": 0.17831976121830714, ""adhd_inattentive.emotional.self_esteem"": -0.3026473254066201, ""adhd_inattentive.emotional.shame"": 0.1632822459751606, ""base_cognitive.att_bandwidth"": 4, ""base_cognitive.conflict_tendency"": 0.0387237732805941, ""base_cognitive.importance_trigger"": 139.97301653276992, ""base_cognitive.impulse_override"": 0.1006157481861678, ""base_cognitive.plan_consistency"": 0.8445342052623588, ""base_cognitive.recency_decay"": 0.99403271360871, ""base_cognitive.retention"": 6, ""base_cognitive.social_sensitivity"": 0.3571229743085633, ""base_cognitive.task_initiation_delay"": 0.08074969977666435, ""base_cognitive.vision_r"": 3, ""base_emotional.anger"": 0.11748910193518207, ""base_emotional.anxiety"": 0.11071320684476775, ""base_emotional.excitement"": 0.2976247817048949, ""base_emotional.frustration"": 0.11465767736095664, ""base_emotional.loneliness"": 0.11080374567519619, ""base_emotional.self_esteem"": 0.6805242564204538, ""base_emotional.shame"": 0.08082943476239049, ""base_emotional.trust_in_teacher"": 0.5746044677879898}"		
1778044802.688	0	8	0.720282	0.802810	0.596491	0.000000	"{""adhd_hyperactive_impulsive.cognitive.conflict_tendency"": 0.14704072146545938, ""adhd_hyperactive_impulsive.cognitive.impulse_override"": 0.36036057681835654, ""adhd_hyperactive_impulsive.cognitive.plan_consistency"": -0.5378084857046969, ""adhd_hyperactive_impulsive.emotional.anger"": 0.12651850384431396, ""adhd_hyperactive_impulsive.emotional.excitement"": 0.17151827756634025, ""adhd_inattentive.cognitive.att_bandwidth"": -1, ""adhd_inattentive.cognitive.plan_consistency"": -0.31762573760985097, ""adhd_inattentive.cognitive.retention"": -2, ""adhd_inattentive.cognitive.task_initiation_delay"": 0.3973342823308659, ""adhd_inattentive.emotional.frustration"": 0.14468672274479283, ""adhd_inattentive.emotional.self_esteem"": -0.3400578403587591, ""adhd_inattentive.emotional.shame"": 0.13265513476212626, ""base_cognitive.att_bandwidth"": 2, ""base_cognitive.conflict_tendency"": 0.049237256927926354, ""base_cognitive.importance_trigger"": 167.82973800993258, ""base_cognitive.impulse_override"": 0.10638261609728748, ""base_cognitive.plan_consistency"": 0.9352733966016255, ""base_cognitive.recency_decay"": 0.9925404137761993, ""base_cognitive.retention"": 6, ""base_cognitive.social_sensitivity"": 0.44569233763521554, ""base_cognitive.task_initiation_delay"": 0.0166311110603914, ""base_cognitive.vision_r"": 5, ""base_emotional.anger"": 0.14823706125356712, ""base_emotional.anxiety"": 0.0992665054669991, ""base_emotional.excitement"": 0.2676105902922854, ""base_emotional.frustration"": 0.1101560438824179, ""base_emotional.loneliness"": 0.061824366980658234, ""base_emotional.self_esteem"": 0.6846014971980325, ""base_emotional.shame"": 0.03703624799666147, ""base_emotional.trust_in_teacher"": 0.6637520918347859}"		
1778044803.386	0	9	0.549967	0.498370	0.627363	0.000000	"{""adhd_hyperactive_impulsive.cognitive.conflict_tendency"": 0.1108814671739736, ""adhd_hyperactive_impulsive.cognitive.impulse_override"": 0.2974265794407781, ""adhd_hyperactive_impulsive.cognitive.plan_consistency"": -0.39962710151711955, ""adhd_hyperactive_impulsive.emotional.anger"": 0.1795771179404162, ""adhd_hyperactive_impulsive.emotional.excitement"": 0.24976816612816635, ""adhd_inattentive.cognitive.att_bandwidth"": -3, ""adhd_inattentive.cognitive.plan_consistency"": -0.306761639842117, ""adhd_inattentive.cognitive.retention"": -2, ""adhd_inattentive.cognitive.task_initiation_delay"": 0.3477371905231692, ""adhd_inattentive.emotional.frustration"": 0.17145216008286307, ""adhd_inattentive.emotional.self_esteem"": -0.2990004964342104, ""adhd_inattentive.emotional.shame"": 0.2007535334439957, ""base_cognitive.att_bandwidth"": 4, ""base_cognitive.conflict_tendency"": 0.04078979525524118, ""base_cognitive.importance_trigger"": 105.60780256684109, ""base_cognitive.impulse_override"": 0.0835531595805025, ""base_cognitive.plan_consistency"": 0.7871649921961447, ""base_cognitive.recency_decay"": 0.9944116835491168, ""base_cognitive.retention"": 4, ""base_cognitive.social_sensitivity"": 0.3705611685002793, ""base_cognitive.task_initiation_delay"": 0.06752125536040902, ""base_cognitive.vision_r"": 3, ""base_emotional.anger"": 0.10432578123985237, ""base_emotional.anxiety"": 0.12728748995934736, ""base_emotional.excitement"": 0.2375508433936837, ""base_emotional.frustration"": 0.18354309711941563, ""base_emotional.loneliness"": 0.0803069898403047, ""base_emotional.self_esteem"": 0.7869412515472854, ""base_emotional.shame"": 0.05954584173463498, ""base_emotional.trust_in_teacher"": 0.6806956788829898}"		
1778044804.121	0	10	0.714647	0.793417	0.596491	0.000000	"{""adhd_hyperactive_impulsive.cognitive.conflict_tendency"": 0.2076418280708197, ""adhd_hyperactive_impulsive.cognitive.impulse_override"": 0.2908522318472225, ""adhd_hyperactive_impulsive.cognitive.plan_consistency"": -0.4290340345939552, ""adhd_hyperactive_impulsive.emotional.anger"": 0.1464676506025689, ""adhd_hyperactive_impulsive.emotional.excitement"": 0.19513569383276197, ""adhd_inattentive.cognitive.att_bandwidth"": -1, ""adhd_inattentive.cognitive.plan_consistency"": -0.2622139992145792, ""adhd_inattentive.cognitive.retention"": -4, ""adhd_inattentive.cognitive.task_initiation_delay"": 0.32685822287867355, ""adhd_inattentive.emotional.frustration"": 0.13500572715448328, ""adhd_inattentive.emotional.self_esteem"": -0.2559519810495813, ""adhd_inattentive.emotional.shame"": 0.11605539665641265, ""base_cognitive.att_bandwidth"": 2, ""base_cognitive.conflict_tendency"": 0.044197214912150874, ""base_cognitive.importance_trigger"": 118.5640290325281, ""base_cognitive.impulse_override"": 0.10927777563177955, ""base_cognitive.plan_consistency"": 0.9366518755987417, ""base_cognitive.recency_decay"": 0.9831973146840056, ""base_cognitive.retention"": 6, ""base_cognitive.social_sensitivity"": 0.41085812662166515, ""base_cognitive.task_initiation_delay"": 0.08792702424845428, ""base_cognitive.vision_r"": 3, ""base_emotional.anger"": 0.14846796763578052, ""base_emotional.anxiety"": 0.12951810954437354, ""base_emotional.excitement"": 0.1511734660728237, ""base_emotional.frustration"": 0.17506174319597106, ""base_emotional.loneliness"": 0.10847715812528791, ""base_emotional.self_esteem"": 0.6598757504399956, ""base_emotional.shame"": 0.11442479101048451, ""base_emotional.trust_in_teacher"": 0.7542760337788654}"		
